time,V(vin),V(vo1),V(vs),V(vout)
1.511989062537374e-03,8.260988e-03,2.908403e+00,1.500897e-02,-1.180595e-01
1.516871875037374e-03,1.208495e-02,2.887481e+00,2.109766e-02,-1.379829e-01
1.521754687537374e-03,1.582894e-02,2.867272e+00,2.705240e-02,-1.571912e-01
1.526637500037374e-03,1.949296e-02,2.847776e+00,3.287320e-02,-1.756843e-01
1.531520312537374e-03,2.307702e-02,2.828992e+00,3.856005e-02,-1.934624e-01
1.536403125037374e-03,2.658111e-02,2.810921e+00,4.411295e-02,-2.105254e-01
1.541285937537374e-03,3.000523e-02,2.793563e+00,4.953191e-02,-2.268733e-01
1.546168750037373e-03,3.334939e-02,2.776918e+00,5.481692e-02,-2.425061e-01
1.554190513430230e-03,3.861274e-02,2.751511e+00,6.311565e-02,-2.662375e-01
1.562212276823087e-03,4.337869e-02,2.729406e+00,7.060764e-02,-2.868305e-01
1.570234040215944e-03,4.764726e-02,2.710604e+00,7.729288e-02,-3.042852e-01
1.578255803608801e-03,5.141843e-02,2.695105e+00,8.317138e-02,-3.186015e-01
1.586277567001658e-03,5.469221e-02,2.682908e+00,8.824313e-02,-3.297796e-01
1.594299330394515e-03,5.746860e-02,2.674014e+00,9.250814e-02,-3.378193e-01
1.602321093787372e-03,5.974759e-02,2.668422e+00,9.596641e-02,-3.427207e-01
1.611389174144515e-03,6.148139e-02,2.667315e+00,9.851802e-02,-3.434931e-01
1.620457254501658e-03,6.241852e-02,2.670653e+00,9.979895e-02,-3.400940e-01
1.629525334858800e-03,6.255899e-02,2.678437e+00,9.980920e-02,-3.325233e-01
1.638593415215943e-03,6.190279e-02,2.690666e+00,9.854877e-02,-3.207811e-01
1.647661495573086e-03,6.044992e-02,2.707342e+00,9.601766e-02,-3.048673e-01
1.656729575930228e-03,5.820039e-02,2.728462e+00,9.221586e-02,-2.847819e-01
1.665797656287371e-03,5.515420e-02,2.754029e+00,8.714338e-02,-2.605250e-01
1.671378013430228e-03,5.290641e-02,2.771520e+00,8.343527e-02,-2.438834e-01
1.676958370573085e-03,5.043197e-02,2.790031e+00,7.937213e-02,-2.262472e-01
1.682538727715942e-03,4.773087e-02,2.809561e+00,7.495396e-02,-2.076165e-01
1.688119084858799e-03,4.480313e-02,2.830111e+00,7.018076e-02,-1.879913e-01
1.693699442001656e-03,4.164873e-02,2.851680e+00,6.505253e-02,-1.673717e-01
1.699279799144513e-03,3.826767e-02,2.874269e+00,5.956927e-02,-1.457575e-01
